0.52,3.826205118,,0.52,4.816063986,,0.52,5.802156626,,0.52,3.557994093,,0.52,1.764273501
0.53,3.950004055,,0.53,4.965703057,,0.53,5.995350926,,0.53,3.66540914,,0.53,1.827498215
0.54,4.082490779,,0.54,5.124133809,,0.54,6.197143096,,0.54,3.780951454,,0.54,1.89572917
0.55,4.224466157,,0.55,5.29225282,,0.55,6.407631164,,0.55,3.905439306,,0.55,1.969759328
0.56,4.376767136,,0.56,5.470993766,,0.56,6.626980476,,0.56,4.039723348,,0.56,2.050459211
0.57,4.540262442,,0.57,5.661314315,,0.57,6.855438257,,0.57,4.184681677,,0.57,2.138776751
0.58,4.715850799,,0.58,5.864185681,,0.58,7.093347977,,0.58,4.34121767,,0.58,2.235737847
0.59,4.904462211,,0.59,6.080585597,,0.59,7.341162642,,0.59,4.510261194,,0.59,2.342449756
0.6,5.107062738,,0.6,6.311495261,,0.6,7.599455774,,0.6,4.692773715,,0.6,2.460109
0.61,5.324662998,,0.61,6.557900532,,0.61,7.868928536,,0.61,4.889757648,,0.61,2.590011955
0.62,5.558330498,,0.62,6.82079737,,0.62,8.150411114,,0.62,5.102270162,,0.62,2.733569778
0.63,5.809205632,,0.63,7.101201199,,0.63,8.444856157,,0.63,5.331441459,,0.63,2.892329777
0.64,6.078521055,,0.64,7.400159528,,0.64,8.753321917,,0.64,5.578497398,,0.64,3.068001307
0.65,6.367623846,,0.65,7.718766836,,0.65,9.076942642,,0.65,5.844786136,,0.65,3.26248725
0.66,6.677999689,,0.66,8.058180375,,0.66,9.416883924,,0.66,6.131808276,,0.66,3.477923763
0.67,7.011298044,,0.67,8.419635218,,0.67,9.774281154,,0.67,6.441249842,,0.67,3.716726529
0.68,7.369356978,,0.68,8.804456528,,0.68,10.15015998,,0.68,6.775017142,,0.68,3.981644089
0.69,7.75422605,,0.69,9.214066699,,0.69,10.54533886,,0.69,7.13527239,,0.69,4.275821617
0.7,8.168185242,,0.7,9.649984713,,0.7,10.96031543,,0.7,7.524468602,,0.7,4.602873791
0.71,8.613757498,,0.71,10.11381473,,0.71,11.39514039,,0.71,7.945381882,,0.71,4.966966739
0.72,9.09371185,,0.72,10.60722068,,0.72,11.84928492,,0.72,8.401138706,,0.72,5.372912681
0.73,9.611053427,,0.73,11.1318833,,0.73,12.32151016,,0.73,8.895234975,,0.73,5.826275621
0.74,10.16899575,,0.74,11.68943611,,0.74,12.80974942,,0.74,9.431542638,,0.74,6.333485634
0.75,10.77090966,,0.75,12.28137649,,0.75,13.31101552,,0.75,10.01429821,,0.75,6.901962276
0.76,11.420242,,0.76,12.90894858,,0.76,13.82134612,,0.76,10.6480656,,0.76,7.540239645
0.77,12.12039569,,0.77,13.57299501,,0.77,14.33579942,,0.77,11.33766322,,0.77,8.258078566
0.78,12.87456163,,0.78,14.27377595,,0.78,14.84850953,,0.78,12.08804208,,0.78,9.066547671
0.79,13.6854915,,0.79,15.01075545,,0.79,15.35280704,,0.79,12.90409807,,0.79,9.978035251
0.8,14.55520031,,0.8,15.78235854,,0.8,15.84140397,,0.8,13.79039731,,0.8,11.00612664
0.81,15.48458847,,0.81,16.58570625,,0.81,16.30663595,,0.81,14.75078974,,0.81,12.165252
0.82,16.47297678,,0.82,17.41634178,,0.82,16.74074758,,0.82,15.78788383,,0.82,13.46995281
0.83,17.51755503,,0.83,18.26796801,,0.83,17.13620142,,0.83,16.90235653,,0.83,14.93354127
0.84,18.61275808,,0.84,19.13222427,,0.84,17.48598785,,0.84,18.09208088,,0.84,16.56585442
0.85,19.74960321,,0.85,19.99853858,,0.85,17.78391187,,0.85,19.3510739,,0.85,18.36973921
0.86,20.91505036,,0.86,20.85409738,,0.86,18.02483572,,0.86,20.66830502,,0.86,20.33591988
